,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
muH,0.8653276439,0.4159011843,0.2316367922,1.6044108554,0.0075443198,0.0068913874,2822.7236658831,5915.2649882162,1.0019075869
muB,0.5596095906,0.1746504731,0.2216490377,0.8764007011,0.0035113666,0.0016064017,2469.3527675399,5367.1028366379,1.0005847004
k,5363483.246708552,2670108.9086293555,1599731.4977919625,10107664.676163707,60275.0116429182,46682.4656262145,1319.9565605751,1444.8906664449,1.0030216593
phi,7.6e-09,3.2e-09,2.7e-09,1.31e-08,2e-10,3e-10,173.8680310771,491.8801328842,1.0255736514
beta,62.4641095134,21.7727770707,27.3772883468,99.9922727652,2.2997621188,1.47341052,85.2212002884,34.3962274325,1.0489904129
H0,2966240.020567992,2237912.104183883,206905.5493535748,7369344.149127548,112117.0218644123,44268.3178571971,343.9720507844,1046.2909558637,1.019463116
B0,1261978.0718177704,1608372.369732177,21722.3807026482,4372471.919141389,28934.0198666956,33077.2277355344,2463.5183267062,5555.7872626795,1.0007969993
P0,32283599.41554178,15655947.701398129,8137656.509517223,59936799.99268328,372140.8789313536,133799.5697675357,1694.6477149169,1912.3266074782,1.0020167626
sigma_host,1.5790616083,0.3113215551,1.0479304714,2.1762215387,0.003835333,0.0023367395,6204.7122964759,13429.3372109809,1.0023914377
sigma_bacteria,2.1139520986,0.3750582766,1.456393067,2.8164467161,0.0042872897,0.002821862,7992.6736789823,11788.7805820875,1.0012491248
