,time,name,treatment_conc,treatment,d7,host,replicate,r,cell_dmsp
176,1,bacteria,none,none,False,ehux379,r1,85260.0728263122,68208.05826104977
177,2,bacteria,none,none,False,ehux379,r1,49072.58653424858,39258.06922739886
178,3,bacteria,none,none,False,ehux379,r1,62710.4865869237,50168.38926953896
179,4,bacteria,none,none,False,ehux379,r1,118380.96619759173,94704.77295807339
180,5,bacteria,none,none,False,ehux379,r1,269136.6655015729,215309.33240125832
181,6,bacteria,none,none,False,ehux379,r1,813795.1021591072,651036.0817272859
182,7,bacteria,none,none,False,ehux379,r1,1667053.3642691416,1333642.6914153134
183,8,bacteria,none,none,False,ehux379,r1,901385.3977903783,721108.3182323027
184,9,bacteria,none,none,False,ehux379,r1,1429316.6405842458,1143453.3124673967
185,10,bacteria,none,none,False,ehux379,r1,661615.1192617272,529292.0954093818
186,11,bacteria,none,none,False,ehux379,r1,1181547.0157250005,945237.6125800004
220,1,bacteria,none,none,True,ehux379,r1,176252.86410904178,141002.29128723344
221,2,bacteria,none,none,True,ehux379,r1,3478159.851301115,2782527.881040892
222,3,bacteria,none,none,True,ehux379,r1,4391856.620845659,3513485.2966765272
223,4,bacteria,none,none,True,ehux379,r1,5808580.858085808,4646864.686468647
224,5,bacteria,none,none,True,ehux379,r1,9039114.90547957,7231291.924383657
225,6,bacteria,none,none,True,ehux379,r1,22466562.445718255,17973249.956574604
226,7,bacteria,none,none,True,ehux379,r1,46403246.84736919,37122597.47789535
227,8,bacteria,none,none,True,ehux379,r1,77511579.43492357,62009263.54793886
228,9,bacteria,none,none,True,ehux379,r1,118934521.05506709,95147616.84405369
229,10,bacteria,none,none,True,ehux379,r1,112803613.82984889,90242891.06387912
230,11,bacteria,none,none,True,ehux379,r1,138901990.32360867,111121592.25888693
576,1,bacteria,none,none,False,ehux379,r1,512805.50270744914,410244.40216595936
577,2,bacteria,none,none,False,ehux379,r1,811617.9656848392,649294.3725478714
578,3,bacteria,none,none,False,ehux379,r1,373592.48159678775,298873.9852774302
579,4,bacteria,none,none,False,ehux379,r1,911694.2317807258,729355.3854245807
